original_order;base_d;full_d;base_e;base_p;verbformen;s1;s1e;s1p;Note;Tags
16;appellieren ...;appellieren an + A;appeal to;تقاضا کردن از;;Der Lehrer appelliert an die Studenten, mehr zu lernen;The teacher appeals to the students to study more.;معلم از دانشجویان تقاضا کرد که بیشتر درس بخوانند.;;
17;arbeiten ...;arbeiten bei + D;work at;کار کردن در;;Tina arbeitet bei einer Schuhfabrik.;Tina works at a shoe factory.;تینا در کارخانه کفش کار می‌کند.;Tina arbeitet ... einer Schuhfabrik.;
18;arbeiten ...;arbeiten an + D;work on;کار کردن روی;;Der Tischler arbeitet an einem Möbelstück.;The carpenter is working on a piece of furniture.;نجار روی یک قطعه مبلمان کار می‌کند.;Der Tischler arbeitet ... einem Möbelstück.;
19;auffordern ...;auffordern zu + D;ask to;دعوت کردن به;;Jim fordert Anna zum Tanz auf.;Jim asks Anna to dance.;جیم از آنا برای رقص دعوت کرده است.;;
20;aufhören ...;aufhören mit + D;stop with;توقف کردن در;;Ich höre mit dem Rauchen auf.;I am quitting smoking.;من دارم سیگار کشیدن را ترک می‌کنم.;;
21;aufklären ...;aufklären über + A;clarify about;روشنگری کردن درباره;;Die Polizei klärte die Bürger über den Fall auf.;The police clarified the case to the citizens.;پلیس وضعیت را برای شهروندان روشن کرد.;;
22;aufpassen ...;aufpassen auf + A;watch over;مراقبت کردن از;;Kannst du bitte auf mein Gepäck aufpassen?;Can you please watch my luggage?;می‌توانی لطفاً مراقب چمدان من باشی؟;;
23;aufwachen ...;aufwachen aus + D;wake up from;بیدار شدن از;;Er wachte aus einem tiefen Schlaf auf.;He woke up from a deep sleep.;او از خواب عمیقی بیدار شد.;;
24;ausfüllen ...;ausfüllen mit + D;fill out with;پر کردن با;;Meine Tage sind mit viel Arbeit ausgefüllt.;My days are filled with a lot of work.;روزهای من با کار زیاد پر شده‌اند.;;
25;ausgeben ...;ausgeben für + A;spend on;خرج کردن برای;;Viele Leute geben ihr Geld für ein Luxusauto aus.;Many people spend their money on a luxury car.;بسیاری از مردم پول خود را برای ماشین‌های لوکس خرج می‌کنند.;;
26;ausgehen ...;ausgehen von + D;assume ;فرض کردن;;Wir gehen von gutem Wetter aus.;We assume good weather.;ما فرض می‌کنیم هوا خوب است.;;
27;ausschließen ...;ausschließen aus + D;exclude from;اخراج شدن از;;Der Minister wurde aus der Partei ausgeschlossen.;The minister was expelled from the party.;وزیر از حزب اخراج شده است.;;
28;aussehen ...;aussehen nach + D;look like;به نظر رسیدن;;Es sieht nach einem Gewitter aus.;It looks like a thunderstorm.;به نظر می‌رسد طوفانی در راه است.;;
29;bedecken ...;bedecken mit + D;cover with;پوشاندن با;;Der Boden war mit Schnee bedeckt.;The ground was covered with snow.;زمین با برف پوشانده شده است.;;
30;befördern ...;befördern zu + D;promote to;ترفیع دادن به;;Herr Ulrich wurde zum Abteilungsleiter befördert.;Mr. Ulrich has been promoted to department head.;آقای اولریش به سرپرست بخش ترفیع یافته است.;;
31;befreien ...;befreien aus + D;free from;رهایی یافتن از;;Der Elefant wurde aus der Gefangenschaft befreit.;The elephant was freed from captivity.;فیل از اسارت رهایی یافته است.;;
32;beginnen ...;beginnen als + N;start as;شروع کردن به عنوان;;Herr Bär hat als einfacher Arbeiter begonnen.;Mr. Bär started as a simple worker.;آقای بر به عنوان کارگر ساده شروع کرده است.;;
33;beglückwünschen ...;beglückwünschen zu + D;congratulate on;تبریک گفتن برای;;Ich beglückwünsche Sie zu Ihrem Erfolg!;I congratulate you on your success!;من به شما برای موفقیتتان تبریک می‌گویم!;;
34;begründen ...;begründen mit + D;justify with;توجیه کردن با;;Lina begründet ihr Fehlen mit ihrer Krankheit.;Lina justifies her absence with her illness.;لینا غیبت خود را با بیماری توجیه می‌کند.;;
35;benutzen ...;benutzen für + A;use for;استفاده کردن برای;;Ich benutze den Computer für meine Hausaufgaben.;I use the computer for my homework.;من از کامپیوتر برای تکالیفم استفاده می‌کنم.;;
36;berichten ...;berichten über + A;report on;گزارش دادن درباره;;Die Zeitungen berichten über schwere Kämpfe.;The newspapers report about heavy fighting.;روزنامه‌ها درباره جنگ‌های سنگین گزارش دادند.;Die Zeitungen berichten ... schwere Kämpfe.;
37;berichten ...;berichten von + D;report from;گزارش از;;Warum hast du mir von deiner Reise nichts berichtet?;Why didn't you tell me about your trip?;چرا هیچ چیزی درباره سفرت به من نگفتی؟;Warum hast du mir ... deiner Reise nichts berichtet?;
38;bestehen …;bestehen auf + D;insist on;اصرار داشتن بر;;Ich bestehe auf einem korrekten Vertrag.;I insist on a proper contract.;من بر یک قرارداد درست اصرار دارم.;Ich bestehe ... einem korrekten Vertrag.;
39;bestehen …;bestehen aus + D;consist of;تشکیل شده از;;Das Dessert besteht aus einem Joghurt mit Obst.;The dessert consists of a yogurt with fruit.;دسر از یک ماست با میوه تشکیل شده است.;Das Dessert besteht ... einem Joghurt mit Obst.;
40;bestehen …;bestehen in + D;consist in;مشتمل بر;;Mein Job besteht in der Bearbeitung von Anträgen.;My job consists in processing applications.;کار من در پردازش درخواست‌ها است.;Mein Job besteht ... der Bearbeitung von Anträgen.;
41;bestellen ...;bestellen bei + D;order from;سفارش دادن به;;Er hat das Sofa bei einem Möbelhaus bestellt.;He ordered the sofa from a furniture store.;او کاناپه را از یک فروشگاه مبلمان سفارش داده است.;;
42;bestimmen ...;bestimmen über + A;decide about;تصمیم گرفتن برای;;Der Direktor bestimmt über die neuen Regeln.;The director decides on the new rules.;مدیر در مورد قوانین جدید تصمیم می‌گیرد.;;
43;bestrafen ...;bestrafen für + A;punish for;مجازات کردن برای;;Der Täter wurde für den Diebstahl bestraft.;The perpetrator was punished for the theft.;فرد خاطی برای دزدی مجازات شد.;;
44;beten ...;beten für + A;pray for;دعا کردن برای;;Wir beten für dich.;We pray for you.;ما برای تو دعا می‌کنیم.;Wir beten ... dich.;
45;beten ...;beten zu + D;pray to;دعا کردن به;;Viele Menschen beten in Not zu ihrem Gott.;Many people pray to their god in times of need.;بسیاری از مردم در مواقع نیاز به خدای خود دعا می‌کنند.;;
46;betrachten ...;betrachten als + A;consider as;تلقی کردن به عنوان;;Ich betrachte das als eine Lüge.;I consider that a lie.;من این را به عنوان یک دروغ تلقی می‌کنم.;;
47;betrügen ...;betrügen mit + D;cheat with;خیانت کردن با;;Ralf hat seine Frau mit ihrer Freundin betrogen.;Ralf cheated on his wife with her girl friend.;رالف با دوست‌دختر خود به همسرش خیانت کرده است.;;
48;bezeichnen ...;bezeichnen als + A;describe as;توصیف کردن به عنوان;;Der Chef bezeichnet ihn als seinen besten Mann.;The boss describes him as his best man.;رئیس او را به عنوان بهترین آدم خود توصیف کرده است.;;
49;bitten ...;bitten um + A;ask for;درخواست کردن برای;;Darf ich dich um Hilfe bitten?;May I ask you for help?;آیا می‌توانم از تو درخواست کمک کنم؟;;
50;bleiben ...;bleiben bei + D;stick to;پایبند بودن به;;Ich bleibe bei meiner Meinung.;I stick to my opinion.;من به نظر خودم پایبند هستم.;;
51;brauchen ...;brauchen für + A;need for;نیاز داشتن به;;Ich brauche dich für den Umzug.;I need you for the move.;من برای نقل مکان به تو نیاز دارم.;;
52;bringen ...;bringen um + A;deprive of;محروم کردن از;;Der Unfall brachte ihn um seine Zukunftschancen.;The accident deprived him of his future opportunities.;تصادف او را از فرصت‌های آینده‌اش محروم کرد.;;
53;danken ...;danken für + A;thank for;تشکر کردن برای;;Ich danke dir für deinen Tipp!;Thank you for your tip!;از تو برای راهنمایی‌ات تشکر می‌کنم!;;
54;denken ...;denken an + A;think of;فکر کردن به;;Denkt ihr an den Geburtstag von Oma?;Are you thinking of Grandma's birthday?;آیا به تولد مادربزرگ فکر می‌کنید؟;;
55;dienen ...;dienen zu + D;serve for;خدمت کردن به;;Das neue Benzin soll zum Umweltschutz dienen.;The new gasoline is intended to serve for the protection of the environment.;بنزین جدید قرار است در خدمت به حفاظت از محیط زیست باشد.;;
56;diskutieren …;diskutieren über + A;discuss about;بحث کردن درباره;;Die Politiker diskutieren über eine Reform.;The politicians discuss a reform.;سیاستمداران در مورد اصلاحات بحث می‌کنند.;Die Politiker diskutieren ... eine Reform.;
57;diskutieren …;diskutieren mit + D;discuss with;بحث با;;Ich diskutiere mit meinem Freund über Politik.;I discuss politics with my friend.;من در مورد سیاست با دوستم بحث می‌کنم.;Ich diskutiere ... meinem Freund ... Politik.;
58;einladen ...;einladen zu + D;invite to;دعوت کردن به;;Kann ich dich zum Essen einladen?;Can I invite you to dinner?;آیا می‌توانم تو را به شام دعوت کنم؟;;
59;einzahlen ...;einzahlen auf + A;deposit on;واریز کردن به;;Julia zahlt Geld auf ihr Konto ein.;Julia deposits money into her account.;یولیا پول را به حساب خود واریز می‌کند.;;
60;entstehen ...;entstehen aus + D;originate from;پدید آمدن از;;Wie ist aus dem Nichts der Kosmos entstanden?;How did the cosmos originated from nothing?;چگونه کیهان از هیچ پدید آمده است؟;;
61;erfahren ...;erfahren von + D;learn of;اطلاع یافتن از;;Ich habe vom Tod Ihres Mannes erfahren.;I learned of your husband's death.;از مرگ همسرتان با خبر شدم.;;
62;erkennen ...;erkennen an + D;recognize by;شناختن از;;Man erkennt ihn an seinen großen Ohren.;He is recognized by his big ears.;او را از گوش‌های بزرگش می‌شناسند.;;
63;ernennen ...;ernennen zu + D;appoint as;منصوب شدن به;;Er wurde zum Minister ernannt.;He was appointed as a minister.;او به عنوان وزیر منصوب شده است.;;
64;erschrecken ...;erschrecken über + A;be shocked by;شوکه شدن از;;Ich bin über das Foto erschrocken.;I was shocked by the photo.;از عکس شوکه شدم.;;
65;erwarten ...;erwarten von + D;expect from;انتظار داشتن از;;Das hätte ich von dir nicht erwartet!;I did not expect that from you!;چنین چیزی را از تو انتظار نداشتم!;;
66;erzählen ...;erzählen von + D;tell about;گفتن از;;Warum hat er von seiner Situation nichts erzählt?;Why did he not tell anything about his situation?;چرا او در مورد وضعیت خود چیزی نگفته است؟;Warum hat er ... seiner Situation nichts erzählt?;
67;erzählen ...;erzählen über + A;tell about;تعریف کردن از;;Erzähl mir etwas über dich!;Tell me something about yourself!;درباره خودت چیزی برایم تعریف کن!;Erzähl mir etwas ... dich!;
68;es bringen ...;es bringen auf + A;amount to;رسیدن به مجموع;;Zusammen bringen wir es auf neun Personen.;Together we make up nine people.;با هم مجموعاً به نه نفر می‌رسیم.;;
69;fehlen ...;fehlen an + D;lack in;کمبود داشتن در;;Dir fehlt es am Mut dazu!;You lack the courage for it!;تو شجاعت لازم برای این کار را کم داری!;;
70;festhalten ...;festhalten an + D;cling to;چنگ زدن به;;Der Mensch hält an seinen Gewohnheiten fest.;Humans cling to their habits.;انسان‌ها به عادات خود چسبیده‌اند.;;
71;fliehen ...;fliehen vor + D;flee from;فرار کردن از;;Die Menschen fliehen vor dem Feind.;The people are fleeing from the enemy.;مردم از دشمن فرار می‌کنند.;;
72;fragen ...;fragen nach + D;ask about;پرسیدن درباره;;Wir mussten nach der Adresse fragen.;We had to ask for the address.;ما مجبور بودیم که آدرس را بپرسیم.;Wir mussten ... der Adresse fragen.;
73;fragen …;fragen um + A;ask for;درخواست برای;;Kann ich dich um Rat fragen?;Can I ask you for advice?;آیا می‌توانم از تو مشورت بخواهم؟;Kann ich dich ... Rat fragen?;
74;führen ...;führen zu + D;lead to;منجر شدن به;;Die Krise führte zu einem negativen Geschäftsergebnis.;The crisis led to a negative business outcome.;بحران به نتیجه منفی کسب و کار منجر شد.;;
75;gehen ...;gehen um + A;be about;درباره بودن;;Hier geht es um das Prinzip.;This is about the principle.;این موضوع به اصول مربوط است.;;
76;gehören ...;gehören zu + D;belong to;تعلق داشتن به;;Österreich gehört zur Europäischen Union.;Austria belongs to the European Union.;اتریش عضو اتحادیه اروپا است.;;
77;gelten ...;gelten als + N;be considered as;شناخته شدن به عنوان;;Die Schweiz gilt als Paradies für Skifahrer.;Switzerland is considered a paradise for skiers.;سوئیس بهشت اسکی بازان به شمار می‌رود.;Die Schweiz gilt ... Paradies für Skifahrer.;
78;gelten ...;gelten für + A;valid for;معتبر برای;;Dieser Parkausweis gilt nur für die Innenstadt.;This parking permit is only valid for the downtown area.;این مجوز پارک فقط برای مرکز شهر معتبر است.;Dieser Parkausweis gilt nur ... die Innenstadt.;
79;geraten ...;geraten in + A;get into;گرفتار شدن در;;Karin ist in Schwierigkeiten geraten.;Karin has gotten into trouble.;کارین به دردسر افتاده است.;;
80;glauben ...;glauben an + A;believe in;باور داشتن به;;Wer glaubt hier noch an die Wahrheit?;Who still believes in the truth here?;چه کسی هنوز اینجا به حقیقت باور دارد؟;;
81;gratulieren ...;gratulieren zu + D;congratulate on;تبریک گفتن برای;;Ich gratuliere dir zu deinem Examen!;I congratulate you on your exam!;من به خاطر امتحانت تبریک می‌گویم!;;
82;grüßen ...;grüßen von + D;send greetings from;سلام رساندن از طرفِ;;Ich soll dich von Anna grüßen.;Anna sends her greetings to you.;آنا سلام می‌رساند.;;
83;halten ...;halten von + D;think of;نظر داشتن درباره;;Was hältst du von meinem Vorschlag?;What do you think of my suggestion?;نظر شما درباره پیشنهاد من چیست؟;;
84;handeln ...;handeln mit + D;deal in;در تجارت چیزی بودن;;Die Firma handelt mit wertvollen Teppichen;The company trades in valuable carpets.;شرکت در تجارت فرش‌های ارزشمند است.;Die Firma handelt ... wertvollen Teppichen;
85;handeln ...;handeln von + D;deal with;سر و کار داشتن با / در موردِ;;Das Buch handelt von einem Zoo.;The book deals with a zoo.;کتاب در مورد یک باغ وحش است.;Das Buch handelt ... einem Zoo.;
86;hängen ...;hängen an + D;be attached to;دلبسته بودن به;;Pia hängt sehr an ihrer Katze.;Pia is very attached to her cat.;پیا به گربه‌اش خیلی دلبسته است.;;
87;helfen ...;helfen bei + D;help with;کمک کردن در;;Hilfst du uns bei der Gartenarbeit?;Will you help us with the gardening?;آیا شما به ما در باغبانی کمک خواهید کرد؟;;
88;herrschen ...;herrschen über + A;rule over;حکومت کردن بر;;Der König herrscht über sein Volk.;The king rules over his people.;پادشاه بر مردمش حکومت می‌کند.;;
89;hindern ...;hindern an + D;prevent from;ممانعت کردن از;;Er wurde an der Flucht gehindert.;He was prevented from escaping.;از فرار او ممانعت شد.;;
90;hinweisen ...;hinweisen auf + A;point out;اشاره کردن به;;Darf ich Sie auf einen Fehler hinweisen?;May I point out a mistake?;اجازه دارم به اشتباهی اشاره کنم؟;;
91;hoffen ...;hoffen auf + A;hope for;امید داشتن به;;Die Studenten hoffen auf bessere Zeiten.;The students hope for better times.;دانشجویان امید به زمان‌های بهتری دارند.;;
92;hören ...;hören auf + A;listen to;گوش کردن به;;Die Kinder hören nicht auf ihre Eltern.;The children do not listen to their parents.;بچه‌ها به والدین خود گوش نمی‌دهند.;;
93;kämpfen ...;kämpfen für + A;fight for;مبارزه کردن برای;;Die Arbeiter kämpfen für einen höheren Lohn.;The workers are fighting for a higher wage.;کارگران برای دستمزد بالاتر می‌جنگند.;Die Arbeiter kämpfen ... einen höheren Lohn.;
94;kämpfen ...;kämpfen um + A;fight over;مبارزه کردن برای (درباره);;Er kämpft um sein Leben.;He is fighting for his life.;او برای زندگی‌اش می‌جنگد.;Er kämpft ... sein Leben.;
95;kennen ...;kennen als + A;know as;شناختن به عنوان;;Wir kennen ihn als klugen Mann.;We know him as a smart man.;ما او را به عنوان مردی باهوش می‌شناسیم.;;
96;klagen ...;klagen über + A;complain about;شکایت کردن از;;Alle klagen über den Winter.;Everyone complains about the winter.;همه از زمستان شکایت می‌کنند.;;
97;klingeln ...;klingeln an + D;ring at;زنگ زدن به;;Ich klingele an der Tür.;I ring the doorbell.;من زنگ در را می‌زنم.;;
98;klopfen ...;klopfen an + A;knock on;در زدن به;;Er klopft an das Fenster.;He knocks on the window.;او به پنجره می‌کوبد.;;
99;kommen ...;kommen zu + D;come to;رسیدن به;;Ich komme vor lauter Arbeit nicht mehr zum Lesen.;I'm too busy to read.;به خاطر کار زیاد دیگر وقت خواندن ندارم.;Ich komme vor lauter Arbeit nicht mehr ... Lesen.;
100;kommen ...;kommen auf + A;come up with;به نتیجه رسیدن;;Ich komme nicht auf die Lösung.;I can't come up with the solution.;من به راه حل نمی‌رسم.;Ich komme nicht ... die Lösung.;
101;lachen ...;lachen über + A;laugh about;خندیدن به;;Warum lacht ihr über ihn?;Why are you laughing at him?;چرا به او می‌خندی؟;;
102;leben ...;leben für + A;live for;زندگی کردن برای;;Johanna lebt nur für ihre Musik.;Johanna only lives for her music.;جوهانا تنها برای موسیقی‌اش زندگی می‌کند.;Johanna lebt nur ... ihre Musik.;
103;leben ...;leben von + D;live on;زندگی کردن با;;Von Luft und Liebe allein kann man nicht leben.;One cannot live on love and fresh air alone.;تنها با هوا و عشق نمی‌توان زندگی کرد.;... Luft und Liebe allein kann man nicht leben.;
104;leiden ...;leiden an + D;suffer from;رنج بردن از;;Viele Leute leiden an Übergewicht.;Many people suffer from obesity.;بسیاری از مردم از چاقی رنج می‌برند.;Viele Leute leiden ... Übergewicht.;
105;leiden ...;leiden unter + D;suffer under;تحت فشار بودن;;Margot leidet unter ihrer Schwiegermutter.;Margot suffers under her mother-in-law.;مارگوت از سوی مادر شوهرش تحت فشار است.;Margot leidet ... ihrer Schwiegermutter.;
106;liefern ...;liefern an + A;deliver to;تحویل دادن به;;Die Ware wurde gestern an den Kunden geliefert.;The goods were delivered to the customer yesterday.;کالا دیروز به مشتری تحویل داده شد.;;
107;liegen ...;liegen an + D;lie on;بستگی داشتن به;;Meine Müdigkeit liegt sicher am Wetter.;My tiredness is probably due to the weather.;خستگی من حتماً به خاطر هواست.;;
108;meinen ...;meinen zu + D;think about;نظر داشتن درباره;;Was meinst du zum neuen Direktor?;What do you think of the new director?;نظرت در مورد مدیر جدید چیست؟;;
109;nachdenken ...;nachdenken über + A;think about;فکر کردن درباره;;Petra denkt über ihr Leben nach.;Petra is thinking about her life.;پترا در مورد زندگی‌اش فکر می‌کند.;;
110;passen ...;passen zu + D;match with;جور بودن با;;Dieses Hemd passt nicht zu deiner Hose.;This shirt doesn't match your pants.;این پیراهن با شلوارت جور نیست.;;
111;protestieren ...;protestieren gegen + A;protest against;اعتراض کردن علیه;;Die Demonstranten protestieren gegen die Politik.;The protesters are demonstrating against the government.;معترضان علیه سیاست‌ها دست به تظاهرات زده‌اند.;;
112;reagieren ...;reagieren auf + A;react to;واکنش نشان دادن به;;Auf Nüsse reagiere ich allergisch.;I am allergic to nuts.;به آجیل حساسیت دارم.;;
113;rechnen ...;rechnen mit + D;count on;حساب کردن روی;;Die Firma rechnet nicht mit einem hohen Gewinn.;The company isn't counting on a high profit.;شرکت روی سود زیادی حساب نمی‌کند.;;
114;reden …;reden über + A;talk about;صحبت در مورد;;Wir reden über den neuen Film.;We talk about the new movie.;ما در مورد فیلم جدید صحبت می‌کنیم.;Wir reden ... den neuen Film.;
115;reden …;reden mit + D;talk with;صحبت با;;Ich rede mit meiner Mutter am Telefon.;I talk with my mother on the phone.;من با مادرم تلفنی صحبت می‌کنم.;Ich rede ... meiner Mutter am Telefon.;
116;reden …;reden von + D;talk of;صحبت از;;Sie redet oft von ihren Reisen.;She often talks about her travels.;او اغلب درباره سفرهایش صحبت می‌کند.;Sie redet oft ... ihren Reisen.;
117;regieren ...;regieren über + A;govern over;حکومت کردن بر;;Die Ölkonzerne regieren über den Ölmarkt.;The oil companies govern the oil market.;شرکت‌های نفتی بر بازار نفت حکومت می‌کنند.;;
118;retten ...;retten aus + D;rescue from;نجات دادن از;;Die Feuerwehr rettete die Menschen aus dem brennenden Gebäude.;The firefighters rescued the people from the burning building.;آتش‌نشان‌ها مردم را از ساختمان در حال سوختن نجات دادند.;;
119;riechen ...;riechen nach + D;smell like;بوی چیزی آمدن;;Hier riecht es nach leckerem Essen!;It smells like delicious food here!;اینجا بوی غذای خوشمزه می‌آید!;;
120;rufen ...;rufen um + A;call for;صدا زدن برای;;Berta hat um Hilfe gerufen.;Berta called for help.;برتا برای کمک صدا زد.;;
121;sagen ...;sagen über + A;say about;گفتن درباره;;Was hat er über mich gesagt?;What did he say about me?;او در مورد من چه گفت؟;Was hat er ... mich gesagt?;
122;sagen ...;sagen zu + D;comment on;نظر دادن درباره;;Was sagst du zu meinem neuen Projekt?;What do you say about my new project?;نظر تو درباره پروژه جدید من چیست؟;Was sagst du ... meinem neuen Projekt?;
123;sammeln ...;sammeln für + A;collect for;جمع‌آوری برای;;Wir sammeln Geld für die Renovierung der Schule.;We are collecting money for the renovation of the school.;ما برای بازسازی مدرسه پول جمع‌آوری می‌کنیم.;;
124;schalten ...;schalten auf + A;switch to;تغییر دادن به;;Er schaltet auf einen anderen Fernsehsender.;He switches to another TV channel.;او به کانال تلویزیونی دیگری تغییر می‌دهد.;;
125;schicken ...;schicken an + A;send to;فرستادن به;;Schickst du das Paket an deinen Bruder?;Are you sending the package to your brother?;آیا بسته را برای برادرتان ارسال می‌کنید؟;;
126;schießen ...;schießen auf + A;shoot at;شلیک کردن به;;Der Diktator lässt auf sein Volk schießen.;The dictator is having his people shot at.;دیکتاتور دستور شلیک به مردمش را می‌دهد.;;
127;schimpfen ...;schimpfen über + A;complain about;شکایت کردن از;;Viele schimpfen über die Politiker.;Many complain about the politicians.;بسیاری از دست سیاستمداران شکایت دارند.;;
128;schließen ...;schließen aus + D;conclude from;نتیجه گیری کردن از;;Aus deinem Verhalten schließe ich, dass du schuld bist.;From your behavior, I conclude that you are guilty.;از رفتار شما نتیجه می‌گیرم که شما مقصر هستید.;;
129;schmecken ...;schmecken nach + D;taste like;طعم داشتن مثل;;Der Tee schmeckt nach einem Gewürz.;The tea tastes like a spice.;چای مزه‌ای مانند ادویه دارد.;;
130;schützen ...;schützen gegen + A;protect against;محافظت کردن در برابر;;Diese Impfung schützt gegen Grippe.;This vaccination protects against the flu.;این واکسن از آنفلوانزا محافظت می‌کند.;Diese Impfung schützt ... Grippe.;
131;schützen ...;schützen vor + D;protect from;محافظت از;;Wie kann man sein Geld vor der Inflation schützen?;How can one protect their money from inflation?;چگونه می‌توان از پول در برابر تورم محافظت کرد؟;Wie kann man sein Geld ... der Inflation schützen?;
132;schweigen ...;schweigen zu + D;remain silent about;سکوت کردن درباره;;Der Angeklagte schweigt zu allen Punkten.;The defendant remains silent on all points.;متهم در مورد همه نکات سکوت اختیار کرده است.;;
133;sehen ...;sehen nach + D;check on;بررسی کردن;;Siehst du bitte mal nach den Kindern?;Could you please check on the children?;لطفاً می‌توانید به بچه‌ها سر بزنید؟;;
134;sich amüsieren ...;sich amüsieren über + A;amuse oneself at;خود را سرگرم کردن با;;Max amüsiert sich über den Film.;Max is amused by the movie.;مکس از فیلم سرگرم شده است.;;
135;sich ängstigen ...;sich ängstigen um + A;be anxious about;نگرانی داشتن برای;;Ich ängstige mich um meinen Sohn.;I am worried about my son.;من نگران پسرم هستم.;;
136;sich anmelden …;sich anmelden bei + D;register at;ثبت نام کردن در نزد شخص یا مکانی;;Er hat sich bei der Volkshochschule angemeldet.;He has registered at the adult education center.;او در مرکز آموزش بزرگسالان ثبت نام کرده است.;Er hat sich ... der Volkshochschule angemeldet.;
137;sich anmelden …;sich anmelden auf + A;register on;ثبت نام در;;Ich melde mich auf der Website an.;I am registering on the website.;من در وب‌سایت ثبت‌نام کرده‌ام.;Ich melde mich ... der Website an.;
138;sich anmelden …;sich anmelden für + A;register for;ثبت نام برای;;Hast du dich schon für den Kurs angemeldet?;Have you already registered for the course?;آیا تو هم برای دوره ثبت‌نام کرده‌ای؟;Hast du dich schon ... den Kurs angemeldet?;
139;sich ärgern ...;sich ärgern über + A;be annoyed about;ناراحت بودن از;;Über wen ärgerst du dich denn so?;Who are you so upset about?;از کی ناراحت هستی؟;;
140;sich aufregen ...;sich aufregen über + A;get upset about;عصبانی شدن از;;Er regt sich über die Verspätung auf.;He gets upset about the delay.;او از تأخیر عصبانی می‌شود.;;
141;sich auskennen ...;sich auskennen mit + D;be knowledgeable about;آشنایی خوبی داشتن با;;Beate kennt sich mit guten Weinen aus.;Beate is knowledgeable about good wines.;بئاته با شراب‌های خوب آشنا است.;;
142;sich ausruhen ...;sich ausruhen auf + D;rest on;استراحت کردن روی;;Er ruht sich auf dem Sofa aus.;He is resting on the sofa.;او روی مبل استراحت می‌کند.;Er ruht sich ... dem Sofa aus.;
143;sich ausruhen ...;sich ausruhen von + D;rest from;استراحت از;;Ich ruhe mich von der Arbeit aus.;I am resting from work.;من از کار استراحت می‌کنم.;Ich ruhe mich ... der Arbeit aus.;
144;sich aussprechen ...;sich aussprechen für + A;advocate for;طرفداری کردن از;;Der Politiker spricht sich für Reformen aus.;The politician advocates for reforms.;سیاستمدار از اصلاحات طرفداری می‌کند.;;
145;sich bedanken ...;sich bedanken für + A;thank for;تشکر کردن برای;;Ich möchte mich für Ihre Hilfe bedanken.;I would like to thank you for your help.;من می‌خواهم برای کمک شما تشکر کنم.;Ich möchte mich ... Ihre Hilfe bedanken.;
